CALUMNO,CICLO_ACTUAL,DMODALIDADINGRESO,DBECA_ESTADO,NACIMIENTO_CDEPARTAMENTO,FLAG_SITUACIONLAB,DCAT_PAGO,PDESCUENTO_MAT,MONTO_MAT,MONTO_CUOTA,NCUMOROSO_PERIODO,MONTO_CUMOROSO3,RECORDSEGMENTO,NCURSO_RETIRADO_ACUM,NCURSO_DESAPROBADO,NCURSO_MATRICULA_ACUM,NPROMEDIO_ACUM,NFALTAS,COLEGIO_ESCALA,COLEGIO_PENSION,EE_TIPO,MONTO_DEUDA_ALCIERRE,RIESGO_INASISTENCIA,PDESCUENTO_CUOTA,PREDICHO
1351360,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,0.0,,A,220.0,Particular,,SIN RIESGO,0.0,0.0
1339053,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,125.0,Estatal,,SIN RIESGO,0.0,0.0
1340722,0,Regular,,5.0,NO,SIN CATEGORIA,0.0,295.0,,0,,,0,0,0,,,A,,Estatal,,SIN RIESGO,0.0,0.0007557262000299559
1339960,0,Rendimiento Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,330.0,Particular Laico,,SIN RIESGO,0.0,0.0
1340878,0,Regular,,15.0,NO,SIN CATEGORIA,0.0,295.0,,0,,,0,0,0,,,A,,Estatal,,SIN RIESGO,0.0,0.00032735255361595147
1339718,0,Tercio Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1787.0,0,,,0,0,0,,,A,350.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1340891,0,Regular,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,200.0,Particular Cooperativo,,SIN RIESGO,0.0,0.0
1337576,1,Rendimiento Superior,,,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,0.0,,B,910.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1342178,0,Exonerado,,20.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,,Estatal,,SIN RIESGO,0.0,0.017928961091013863
1341000,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,MEDIA INFERIOR,0,4,6,9.5,72.0,A,240.0,Otros,5816.0,RIESGO ALTO,0.0,0.01087425403263306
1340815,0,Regular,,15.0,NO,SIN CATEGORIA,0.0,295.0,,0,,,0,0,0,,, ,,Particular Laico,,SIN RIESGO,0.0,0.0
1340947,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,0.0,,A,160.0,Particular Laico,,SIN RIESGO,0.0,0.0
1339648,0,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,1095.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1340699,0,Rendimiento Superior,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,300.0,Particular,,SIN RIESGO,0.0,0.0
1337764,0,Tercio Superior,,16.0,NO,CATEGORIA C,0.0,295.0,2166.0,0,,,0,0,0,,,A,480.0,Particular,,SIN RIESGO,0.0,0.0
1338648,0,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,535.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1339640,0,Rendimiento Superior,,,NO,CATEGORIA C,0.0,295.0,1869.0,0,,,0,0,0,,,A,565.0,Particular Laico,,SIN RIESGO,0.0,0.0
1340983,0,Regular,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,,Estatal,,SIN RIESGO,0.0,0.017928961091013863
1340869,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,MEDIA INFERIOR,2,3,5,3.5,143.0,A,280.0,Particular Laico,,RIESGO POTENCIAL,0.0,0.002728278224175747
1339624,1,Tercio Superior,,4.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,A,435.0,Particular,,SIN RIESGO,0.0,0.0
1340963,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,6,0.0,137.0,A,160.0,Particular Laico,,RIESGO POTENCIAL,0.0,0.016525755271066915
1341925,0,Rendimiento Superior,,15.0,NO,SIN CATEGORIA,0.0,295.0,,0,,,0,0,0,,, ,,Particular,,SIN RIESGO,0.0,0.0
1340606,0,Rendimiento Superior,,,NO,CATEGORIA C,0.0,295.0,2166.0,0,,,0,0,0,,,B,600.0,Particular,,SIN RIESGO,0.0,0.0
1339668,0,Rendimiento Superior,,2.0,SI,SIN CATEGORIA,0.0,295.0,,0,,,0,0,0,,, ,0.0,Particular,,SIN RIESGO,0.0,0.0
1338820,0,Rendimiento Superior,,11.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,0.0,,A,200.0,Particular,,SIN RIESGO,0.0,0.0
1340807,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,MEDIA INFERIOR,0,6,6,0.0,359.0,A,64.0,Particular,5816.0,RIESGO POTENCIAL,0.0,0.0026544897316207157
1340839,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,220.0,Particular,,SIN RIESGO,0.0,0.0
1340717,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,305.0,Particular,,SIN RIESGO,0.0,0.0
1340768,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,270.0,Particular Laico,,SIN RIESGO,0.0,0.0
1339360,0,Tercio Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,440.0,Particular Laico,,SIN RIESGO,0.0,0.0
1338645,0,Rendimiento Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,240.0,Particular Cooperativo,,SIN RIESGO,0.0,0.0
1340791,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,330.0,Particular Laico,,SIN RIESGO,0.0,0.0
1339876,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,64.0,Particular,,SIN RIESGO,0.0,0.0
1339655,0,Tercio Superior,,15.0,NO,CATEGORIA C,0.0,295.0,2166.0,0,,,0,0,0,,,B,610.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1338817,0,Tercio Superior,,12.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,0.0,,A,360.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1341637,0,Tercio Superior,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,70.0,Particular Cooperativo,,SIN RIESGO,0.0,0.0
1337048,0,Tercio Superior,,21.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,740.0,Particular Laico,,SIN RIESGO,0.0,0.0
1341066,0,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,850.0,Particular Laico,,SIN RIESGO,0.0,0.0
1340981,0,Regular,,15.0,NO,CATEGORIA B,0.0,295.0,1787.0,0,,,0,0,0,,,A,350.0,Particular Laico,,SIN RIESGO,0.0,0.0
1341685,0,Exonerado,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,,Estatal,,SIN RIESGO,0.0,0.017928961091013863
1339878,0,Rendimiento Superior,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,10.0,Estatal,,SIN RIESGO,0.0,0.0020447268484528993
1337786,0,Rendimiento Superior,,15.0,NO,CATEGORIA C,0.0,295.0,1869.0,0,,,0,0,2,0.0,81.0,C,480.0,Particular,,SIN RIESGO,0.0,0.01009196623338244
1340862,0,Regular,,15.0,NO,CATEGORIA B,0.0,295.0,1787.0,0,,,0,0,0,,,A,290.0,Particular,,SIN RIESGO,0.0,0.0
1341899,0,Tercio Superior,,15.0,SI,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,,Estatal,,SIN RIESGO,0.0,0.01779765720671463
1342166,0,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,5,0,5,0.0,43.0,B,650.0,Particular,3238.0,RIESGO ALTO,0.0,0.010373928565888943
1340959,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,MEDIA INFERIOR,1,4,5,10.0,140.0,A,325.0,Particular,,RIESGO POTENCIAL,0.0,0.002728278224175747
1340837,0,Regular,,,NO,SIN CATEGORIA,0.0,295.0,,0,,,0,0,0,,, ,,Particular,,SIN RIESGO,0.0,0.0004492959365943406
1340978,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,1,0,5,0.0,95.0,A,170.0,Particular,,RIESGO POTENCIAL,0.0,0.007270302396600628
1340015,0,Tercio Superior,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,335.0,Particular,,SIN RIESGO,0.0,0.0
1337585,0,Rendimiento Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,0.0,Estatal,,SIN RIESGO,0.0,0.0047039698091041506
1341687,0,Exonerado,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,,Estatal,,SIN RIESGO,0.0,0.017928961091013863
1343209,0,Rendimiento Superior,,12.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,128.0,,0,0,6,0.0,37.0,A,145.0,Particular,,RIESGO ALTO,0.0,0.0
1337948,0,Rendimiento Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1489.0,0,,,1,0,5,0.0,61.0,A,10.0,Estatal,,SIN RIESGO,0.0,0.024451544707699956
1337089,0,Tercio Superior,,6.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,1020.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1337087,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,349.0,Particular Cooperativo,,SIN RIESGO,0.0,0.0
1336971,0,Rendimiento Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,5,0.0,34.0,A,313.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1339719,1,Traslado - Egresado,,,SI,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,0.0,, ,,Particular,,SIN RIESGO,0.0,0.007409626877931696
1342134,0,Tercio Superior,,15.0,NO,CATEGORIA D,0.0,295.0,2229.0,0,,,0,0,0,0.0,,D,1300.0,Particular,,SIN RIESGO,0.0,0.0
1341608,0,Sistema de Progresión Universitaria,,4.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,A,300.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1347658,0,Quinto Superior,,,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,900.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1336691,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,230.0,Otros,,SIN RIESGO,0.0,0.0
1336962,0,Rendimiento Superior,,20.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,5,0.0,40.0,A,250.0,Pre Universitario,,RIESGO ALTO,0.0,0.0
1337049,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,155.0,Particular Laico,,SIN RIESGO,0.0,0.0
1337587,0,Rendimiento Superior,,15.0,NO,CATEGORIA C,0.0,295.0,1869.0,0,,,0,0,0,,,B,950.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1336976,0,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,A,385.0,Pre Universitario,,SIN RIESGO,0.0,0.0
1337126,0,Tercio Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,460.0,Particular Laico,,SIN RIESGO,0.0,0.0
1337767,0,Rendimiento Superior,,,NO,CATEGORIA B,0.0,295.0,1787.0,0,,,0,0,0,,,B,535.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1336992,0,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,610.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1335968,0,Tercio Superior,,,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,535.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1337119,0,Tercio Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,A,360.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1336001,0,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,850.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1337066,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,200.0,Particular Laico,,SIN RIESGO,0.0,0.0
1337939,0,Rendimiento Superior,,15.0,NO,CATEGORIA C,0.0,295.0,1869.0,0,,,0,0,0,,,B,950.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1341910,0,Rendimiento Superior,,,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,450.0,Particular,,SIN RIESGO,0.0,0.0
1339649,0,Rendimiento Superior,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,190.0,Particular Laico,,SIN RIESGO,0.0,0.0
1337785,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,330.0,Pre Universitario,,SIN RIESGO,0.0,0.0
1337461,0,Rendimiento Superior,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,100.0,Pre Universitario,,SIN RIESGO,0.0,0.0
1339658,0,Tercio Superior,,21.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,220.0,Particular,,SIN RIESGO,0.0,0.0
1337774,0,Rendimiento Superior,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,0.0,Estatal,,SIN RIESGO,0.0,0.004814927999628994
1337629,0,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,A,400.0,Particular,,SIN RIESGO,0.0,0.0
1339656,0,Tercio Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,440.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1337042,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,,Estatal,,SIN RIESGO,0.0,0.01779765720671463
1342137,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,310.0,Parroquial,,SIN RIESGO,0.0,0.0
1337067,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,335.0,Pre Universitario,,SIN RIESGO,0.0,0.0
1337056,0,Tercio Superior,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,310.0,Particular,,SIN RIESGO,0.0,0.0
1339651,0,Rendimiento Superior,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,160.0,Particular Laico,,SIN RIESGO,0.0,0.0
1341186,0,Exonerado,,15.0,NO,CATEGORIA E,0.0,295.0,3094.0,0,,,0,0,1,0.0,,E,1752.0,Particular Laico,,SIN RIESGO,0.0,0.03205283534945797
1340738,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,MEDIA INFERIOR,5,0,5,0.0,105.0,A,100.0,Particular Laico,5816.0,RIESGO POTENCIAL,0.0,0.018103874590134794
1339661,0,Tercio Superior,,14.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,125.0,Particular Laico,,SIN RIESGO,0.0,0.0
1340836,0,Regular,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,260.0,Particular,,SIN RIESGO,0.0,0.0
1340919,0,Regular,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,180.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1339639,0,Traslado - Egresado,,15.0,NO,SIN CATEGORIA,0.0,295.0,,0,,,0,0,0,,, ,,Particular,,SIN RIESGO,0.0,0.0
1341634,0,Rendimiento Superior,,,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,600.0,Particular Laico,,SIN RIESGO,0.0,0.0
1339881,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,235.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1339646,0,Quinto Superior,,,NO,CATEGORIA C,0.0,295.0,1869.0,0,,,0,0,0,,,B,550.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1336052,0,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,660.0,Particular,,SIN RIESGO,0.0,0.0
1343325,0,Rendimiento Superior,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,250.0,Particular,,SIN RIESGO,0.0,0.0
1338091,0,Tercio Superior,,6.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,125.0,Estatal,,SIN RIESGO,0.0,0.0
1338105,0,Rendimiento Superior,,,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,795.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1337078,0,Tercio Superior,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,190.0,Particular Laico,,SIN RIESGO,0.0,0.0
1340932,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,210.0,Parroquial,,SIN RIESGO,0.0,0.0
1337023,0,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1787.0,0,,,0,0,0,,,B,610.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1337635,0,Tercio Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,535.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1337045,0,Tercio Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,A,450.0,Particular,,SIN RIESGO,0.0,0.0
1337039,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,120.0,Particular Laico,,SIN RIESGO,0.0,0.0
1337028,0,Tercio Superior,,,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,A,360.0,Particular Laico,,SIN RIESGO,0.0,0.0
1343944,0,Rendimiento Superior,,1.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,MEDIA INFERIOR,3,2,9,8.8,145.0,A,35.0,No Escolarizado,,RIESGO POTENCIAL,0.0,0.0
1340913,0,Regular,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,300.0,Particular Laico,,SIN RIESGO,0.0,0.0
1340825,0,Regular,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,150.0,Particular,,SIN RIESGO,0.0,0.0
1340905,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1489.0,0,,,0,0,8,0.0,134.0,A,300.0,Particular Laico,,SIN RIESGO,0.0,0.016032015212174677
1340765,0,Regular,,15.0,SI,SIN CATEGORIA,0.0,295.0,,0,,,0,0,0,,,A,190.0,Pre Universitario,,SIN RIESGO,0.0,0.0
1340857,0,Regular,,,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,1,0,5,0.0,68.0,A,450.0,Particular Laico,,RIESGO ALTO,0.0,0.0
1340833,0,Regular,,15.0,NO,CATEGORIA C,0.0,295.0,2166.0,0,,,0,0,0,,,B,500.0,Particular Laico,,SIN RIESGO,0.0,0.0
